,Player,Team,Number,Position,Height,Weight,Last Attended,Country
0,PreciousAchiuwa,MIA,5,F,6-8,225 lbs,Memphis,Nigeria
1,JaylenAdams,MIL,6,G,6-0,225 lbs,St. Bonaventure,USA
2,StevenAdams,NOP,12,C,6-11,265 lbs,Pittsburgh,New Zealand
3,BamAdebayo,MIA,13,C-F,6-9,255 lbs,Kentucky,USA
4,LaMarcusAldridge,SAS,12,C-F,6-11,250 lbs,Texas,USA
5,Ty-ShonAlexander,PHX,0,G,6-3,195 lbs,Creighton,USA
6,NickeilAlexander-Walker,NOP,6,G,6-6,205 lbs,Virginia Tech,Canada
7,GraysonAllen,MEM,3,G,6-4,198 lbs,Duke,USA
8,JarrettAllen,CLE,31,C,6-11,243 lbs,Texas,USA
9,Al-FarouqAminu,ORL,2,F,6-8,220 lbs,Wake Forest,USA
10,KyleAnderson,MEM,1,F-G,6-9,230 lbs,UCLA,USA
11,GiannisAntetokounmpo,MIL,34,F,6-11,242 lbs,Filathlitikos,Greece
12,KostasAntetokounmpo,LAL,37,F,6-10,200 lbs,Dayton,Greece
13,ThanasisAntetokounmpo,MIL,43,F,6-6,219 lbs,Panathinaikos,Greece
14,CarmeloAnthony,POR,0,F,6-7,238 lbs,Syracuse,USA
15,ColeAnthony,ORL,50,G,6-2,185 lbs,North Carolina,USA
16,OGAnunoby,TOR,3,F,6-7,232 lbs,Indiana,United Kingdom
17,RyanArcidiacono,CHI,51,G,6-3,195 lbs,Villanova,USA
18,TrevorAriza,OKC,8,F,6-8,215 lbs,UCLA,USA
19,D.J.Augustin,MIL,12,G,5-11,183 lbs,Texas,USA
20,DeniAvdija,WAS,9,F,6-9,210 lbs,Maccabi Tel Aviv,Israel
21,DeandreAyton,PHX,22,C,6-11,250 lbs,Arizona,Bahamas
22,UdokaAzubuike,UTA,20,C-F,6-8,280 lbs,Kansas,Nigeria
23,DwayneBacon,ORL,8,G-F,6-6,221 lbs,Florida State,USA
24,MarvinBagley III,SAC,35,F,6-11,235 lbs,Duke,USA
25,LaMeloBall,CHA,2,G,6-6,180 lbs,Illawarra,USA
26,LonzoBall,NOP,2,G,6-6,190 lbs,UCLA,USA
27,MoBamba,ORL,5,C,7-0,231 lbs,Texas-Austin,USA
28,DesmondBane,MEM,22,G,6-5,215 lbs,TCU,USA
29,HarrisonBarnes,SAC,40,F,6-8,225 lbs,North Carolina,USA
30,RJBarrett,NYK,9,F-G,6-6,214 lbs,Duke,Canada
31,WillBarton,DEN,5,G,6-6,181 lbs,Memphis,USA
32,KeitaBates-Diop,SAS,6,F,6-8,229 lbs,Ohio State,USA
33,NicolasBatum,LAC,33,G-F,6-8,230 lbs,Le Mans,France
34,AronBaynes,TOR,46,C-F,6-10,260 lbs,Washington State,Australia
35,KentBazemore,GSW,26,G-F,6-4,195 lbs,Old Dominion,USA
36,DariusBazley,OKC,7,F-G,6-8,208 lbs,Princeton HS (OH),USA
37,BradleyBeal,WAS,3,G,6-3,207 lbs,Florida,USA
38,MalikBeasley,MIN,5,G,6-4,187 lbs,Florida State,USA
39,DeAndre'Bembry,TOR,95,G-F,6-5,210 lbs,St. Joseph's (PA),USA
40,DavisBertans,WAS,42,F,6-10,225 lbs,Baskonia,Latvia
41,PatrickBeverley,LAC,21,G,6-1,180 lbs,Arkansas,USA
42,SaddiqBey,DET,41,F,6-7,215 lbs,Villanova,USA
43,TylerBey,DAL,2,F,6-7,215 lbs,Colorado,USA
44,KhemBirch,ORL,24,C,6-9,233 lbs,UNLV,Canada
45,GogaBitadze,IND,88,C-F,6-11,250 lbs,Mega Basket,Georgia
46,BismackBiyombo,CHA,8,C,6-8,255 lbs,Baloncesto Fuenlabrada,DRC
47,NemanjaBjelica,SAC,8,F,6-10,234 lbs,Fenerbahce,Serbia
48,EricBledsoe,NOP,5,G,6-1,214 lbs,Kentucky,USA
49,KeljinBlevins,POR,21,G,6-4,200 lbs,Montana State,USA
